t [s],x [cm],x_err [cm]
0.0,5.1,0.1
0.204,4.7,0.2
0.408,3.9,0.2
0.612,2.7,0.3
0.816,0.9,0.3
1.02,-0.2,0.3
1.224,-2.3,0.3
1.429,-3.5,0.2
1.633,-4.4,0.2
1.837,-4.7,0.1
2.041,-5.0,0.1
2.245,-4.2,0.2
2.449,-3.5,0.3
2.653,-2.2,0.3
2.857,-0.6,0.3
3.061,1.7,0.3
3.265,2.9,0.3
3.469,3.9,0.2
3.673,4.6,0.2
3.878,4.9,0.1
4.082,4.8,0.2
4.286,3.6,0.2
4.49,2.5,0.3
4.694,1.0,0.3
4.898,-0.6,0.3
5.102,-2.3,0.3
5.306,-3.8,0.2
5.51,-4.6,0.2
5.714,-4.7,0.1
5.918,-4.7,0.1
6.122,-4.2,0.2
6.327,-2.5,0.3
6.531,-1.5,0.3
6.735,0.1,0.3
6.939,1.8,0.3
7.143,2.6,0.3
7.347,3.8,0.2
7.551,4.7,0.1
7.755,4.7,0.1
7.959,4.2,0.2
8.163,3.5,0.2
8.367,1.5,0.3
8.571,1.1,0.3
8.776,-0.7,0.3
8.98,-2.0,0.3
9.184,-3.6,0.2
9.388,-4.6,0.2
9.592,-4.7,0.1
9.796,-4.2,0.2
10.0,-3.9,0.2
