t [s],x [cm],x_err [cm]
0.0,4.8,0.1
0.204,4.7,0.2
0.408,3.9,0.2
0.612,2.8,0.3
0.816,1.8,0.3
1.02,-0.2,0.3
1.224,-2.0,0.3
1.429,-3.1,0.3
1.633,-4.0,0.2
1.837,-4.5,0.2
2.041,-4.8,0.1
2.245,-4.4,0.2
2.449,-3.7,0.2
2.653,-2.7,0.3
2.857,-1.9,0.3
3.061,-0.2,0.3
3.265,2.0,0.3
3.469,2.7,0.3
3.673,3.2,0.2
3.878,4.3,0.2
4.082,4.7,0.1
4.286,4.8,0.2
4.49,4.1,0.2
4.694,2.9,0.3
4.898,1.7,0.3
5.102,-0.0,0.3
5.306,-0.9,0.3
5.51,-2.2,0.3
5.714,-3.9,0.2
5.918,-4.4,0.2
6.122,-4.8,0.1
6.327,-4.7,0.2
6.531,-4.1,0.2
6.735,-2.9,0.3
6.939,-1.6,0.3
7.143,-0.5,0.3
7.347,1.4,0.3
7.551,2.5,0.3
7.755,3.8,0.2
7.959,4.2,0.2
8.163,4.6,0.1
8.367,4.4,0.2
8.571,3.7,0.2
8.776,2.8,0.3
8.98,2.0,0.3
9.184,0.0,0.3
9.388,-1.8,0.3
9.592,-3.0,0.3
9.796,-3.5,0.2
10.0,-4.4,0.2
