t [s],x [cm],x_err [cm]
0.0,5.1,0.1
0.204,4.7,0.2
0.408,3.4,0.2
0.612,1.8,0.3
0.816,-0.1,0.3
1.02,-1.8,0.3
1.224,-3.5,0.2
1.429,-4.5,0.2
1.633,-4.9,0.1
1.837,-4.5,0.2
2.041,-3.8,0.2
2.245,-1.9,0.3
2.449,0.2,0.3
2.653,1.8,0.3
2.857,3.6,0.2
3.061,4.7,0.2
3.265,4.7,0.1
3.469,4.7,0.2
3.673,3.8,0.2
3.878,2.0,0.3
4.082,-0.0,0.3
4.286,-0.9,0.3
4.49,-3.1,0.3
4.694,-4.3,0.2
4.898,-4.9,0.1
5.102,-4.5,0.2
5.306,-3.9,0.2
5.51,-2.3,0.3
5.714,-0.7,0.3
5.918,1.1,0.3
6.122,3.0,0.3
6.327,4.3,0.2
6.531,4.6,0.1
6.735,4.3,0.2
6.939,3.6,0.2
7.143,2.7,0.3
7.347,0.3,0.3
7.551,-1.7,0.3
7.755,-3.2,0.3
7.959,-3.7,0.2
8.163,-4.6,0.1
8.367,-4.6,0.1
8.571,-3.4,0.2
8.776,-3.0,0.3
8.98,-0.5,0.3
9.184,0.9,0.3
9.388,3.1,0.3
9.592,4.1,0.2
9.796,4.5,0.1
10.0,4.4,0.1
