t [s],x [cm],x_err [cm]
0.0,5.0,0.1
0.204,4.9,0.2
0.408,3.3,0.2
0.612,2.0,0.3
0.816,0.7,0.3
1.02,-1.0,0.3
1.224,-2.8,0.3
1.429,-4.0,0.2
1.633,-4.9,0.2
1.837,-4.9,0.1
2.041,-4.8,0.2
2.245,-3.5,0.2
2.449,-2.4,0.3
2.653,-0.2,0.3
2.857,1.2,0.3
3.061,3.3,0.3
3.265,4.1,0.2
3.469,4.7,0.1
3.673,4.8,0.1
3.878,3.9,0.2
4.082,2.9,0.3
4.286,1.6,0.3
4.49,-0.4,0.3
4.694,-1.6,0.3
4.898,-3.3,0.2
5.102,-4.1,0.2
5.306,-4.8,0.1
5.51,-4.5,0.1
5.714,-4.1,0.2
5.918,-2.4,0.3
6.122,-1.0,0.3
6.327,0.4,0.3
6.531,2.0,0.3
6.735,3.2,0.2
6.939,4.6,0.2
7.143,4.7,0.1
7.347,4.5,0.2
7.551,3.5,0.2
7.755,2.4,0.3
7.959,0.8,0.3
8.163,-0.8,0.3
8.367,-2.5,0.3
8.571,-3.9,0.2
8.776,-4.4,0.2
8.98,-4.6,0.1
9.184,-4.1,0.2
9.388,-3.2,0.2
9.592,-1.6,0.3
9.796,-1.2,0.3
10.0,1.7,0.3
