t [s],x [cm],x_err [cm]
0.0,5.0,0.1
0.204,4.2,0.2
0.408,1.9,0.3
0.612,-1.1,0.3
0.816,-3.7,0.2
1.02,-4.4,0.2
1.224,-4.9,0.2
1.429,-3.2,0.3
1.633,-0.6,0.3
1.837,1.8,0.3
2.041,4.2,0.2
2.245,4.9,0.1
2.449,4.1,0.2
2.653,1.8,0.3
2.857,-1.6,0.3
3.061,-3.2,0.2
3.265,-4.8,0.1
3.469,-4.1,0.2
3.673,-2.8,0.3
3.878,-0.3,0.3
4.082,2.7,0.3
4.286,4.2,0.2
4.49,4.8,0.1
4.694,3.6,0.2
4.898,1.1,0.3
5.102,-1.4,0.3
5.306,-3.5,0.2
5.51,-4.7,0.1
5.714,-3.8,0.2
5.918,-2.6,0.3
6.122,0.1,0.3
6.327,2.7,0.3
6.531,3.8,0.2
6.735,4.2,0.1
6.939,3.4,0.2
7.143,0.8,0.3
7.347,-1.9,0.3
7.551,-3.9,0.2
7.755,-4.5,0.1
7.959,-4.0,0.2
8.163,-2.1,0.3
8.367,0.2,0.3
8.571,2.2,0.3
8.776,4.1,0.2
8.98,4.6,0.2
9.184,3.1,0.2
9.388,0.4,0.3
9.592,-2.1,0.3
9.796,-3.5,0.2
10.0,-4.5,0.1
