t [s],x [cm],x_err [cm]
0.0,5.0,0.1
0.204,4.3,0.2
0.408,2.8,0.3
0.612,1.5,0.3
0.816,-0.8,0.3
1.02,-2.8,0.3
1.224,-4.0,0.2
1.429,-4.8,0.1
1.633,-4.5,0.2
1.837,-3.5,0.2
2.041,-1.9,0.3
2.245,0.1,0.3
2.449,2.4,0.3
2.653,3.9,0.2
2.857,4.6,0.2
3.061,4.8,0.1
3.265,3.8,0.2
3.469,2.9,0.3
3.673,0.5,0.3
3.878,-1.0,0.3
4.082,-3.3,0.2
4.286,-4.6,0.2
4.49,-4.8,0.1
4.694,-4.3,0.2
4.898,-2.8,0.3
5.102,-1.1,0.3
5.306,0.9,0.3
5.51,3.0,0.3
5.714,3.9,0.2
5.918,4.7,0.1
6.122,4.5,0.2
6.327,3.4,0.2
6.531,2.0,0.3
6.735,-0.3,0.3
6.939,-2.3,0.3
7.143,-3.7,0.2
7.347,-4.4,0.1
7.551,-4.5,0.1
7.755,-3.8,0.2
7.959,-2.6,0.3
8.163,-0.1,0.3
8.367,1.3,0.3
8.571,3.1,0.2
8.776,4.5,0.2
8.98,4.5,0.1
9.184,3.7,0.2
9.388,3.1,0.3
9.592,1.7,0.3
9.796,-1.6,0.3
10.0,-3.1,0.3
