t [s],x [cm],x_err [cm]
0.0,4.9,0.1
0.204,3.3,0.2
0.408,0.4,0.3
0.612,-3.1,0.3
0.816,-4.7,0.1
1.02,-3.7,0.2
1.224,-1.1,0.3
1.429,2.1,0.3
1.633,4.6,0.2
1.837,4.6,0.2
2.041,1.9,0.3
2.245,-1.8,0.3
2.449,-3.8,0.2
2.653,-4.7,0.2
2.857,-2.1,0.3
3.061,0.6,0.3
3.265,3.8,0.2
3.469,4.6,0.1
3.673,3.3,0.2
3.878,-0.5,0.3
4.082,-3.5,0.2
4.286,-4.6,0.1
4.49,-3.5,0.2
4.694,-0.3,0.3
4.898,2.6,0.3
5.102,4.4,0.1
5.306,3.9,0.2
5.51,1.5,0.3
5.714,-2.5,0.3
5.918,-4.1,0.2
6.122,-4.3,0.2
6.327,-2.3,0.3
6.531,1.3,0.3
6.735,4.0,0.2
6.939,4.2,0.1
7.143,2.4,0.3
7.347,-0.4,0.3
7.551,-3.2,0.2
7.755,-4.3,0.1
7.959,-3.0,0.2
8.163,-0.2,0.3
8.367,3.0,0.3
8.571,4.3,0.1
8.776,3.6,0.2
8.98,0.3,0.3
9.184,-2.4,0.3
9.388,-4.0,0.2
9.592,-4.0,0.2
9.796,-1.3,0.3
10.0,1.4,0.3
