t [s],x [cm],x_err [cm]
0.0,5.0,0.1
0.204,4.4,0.2
0.408,2.9,0.3
0.612,0.5,0.3
0.816,-2.4,0.3
1.02,-3.8,0.2
1.224,-4.9,0.1
1.429,-4.8,0.2
1.633,-3.2,0.2
1.837,-1.7,0.3
2.041,1.2,0.3
2.245,3.1,0.3
2.449,4.3,0.2
2.653,4.8,0.1
2.857,3.7,0.2
3.061,2.2,0.3
3.265,0.8,0.3
3.469,-1.9,0.3
3.673,-4.1,0.2
3.878,-4.9,0.1
4.082,-4.4,0.2
4.286,-3.1,0.2
4.49,-1.4,0.3
4.694,0.9,0.3
4.898,3.0,0.3
5.102,4.2,0.2
5.306,4.6,0.1
5.51,3.9,0.2
5.714,2.7,0.3
5.918,0.1,0.3
6.122,-2.4,0.3
6.327,-3.8,0.2
6.531,-4.5,0.1
6.735,-4.4,0.2
6.939,-3.0,0.3
7.143,-0.9,0.3
7.347,1.2,0.3
7.551,3.7,0.2
7.755,4.2,0.2
7.959,4.3,0.1
8.163,3.5,0.2
8.367,2.1,0.3
8.571,-0.7,0.3
8.776,-2.4,0.3
8.98,-3.8,0.2
9.184,-4.3,0.1
9.388,-4.2,0.2
9.592,-2.7,0.3
9.796,-0.6,0.3
10.0,1.6,0.3
