t [s],x [cm],x_err [cm]
0.0,5.1,0.2
0.204,4.5,0.3
0.408,3.1,0.4
0.612,0.7,0.4
0.816,-1.6,0.4
1.02,-3.4,0.4
1.224,-5.2,0.3
1.429,-4.9,0.3
1.633,-3.9,0.4
1.837,-1.0,0.4
2.041,1.1,0.4
2.245,2.9,0.4
2.449,4.1,0.3
2.653,5.1,0.2
2.857,4.0,0.3
3.061,2.6,0.4
3.265,-0.3,0.4
3.469,-2.2,0.4
3.673,-3.8,0.4
3.878,-4.7,0.2
4.082,-4.7,0.3
4.286,-3.3,0.4
4.49,-0.7,0.4
4.694,1.4,0.4
4.898,2.8,0.4
5.102,4.8,0.3
5.306,4.7,0.2
5.51,4.0,0.3
5.714,2.4,0.4
5.918,0.1,0.4
6.122,-2.6,0.4
6.327,-4.2,0.3
6.531,-4.3,0.2
6.735,-4.3,0.3
6.939,-3.0,0.4
7.143,-0.2,0.4
7.347,1.7,0.4
7.551,2.5,0.4
7.755,4.2,0.3
7.959,4.4,0.2
8.163,3.6,0.4
8.367,1.9,0.4
8.571,-0.5,0.4
8.776,-2.2,0.4
8.98,-3.9,0.3
9.184,-4.3,0.2
9.388,-4.3,0.3
9.592,-2.8,0.4
9.796,-1.1,0.4
10.0,1.5,0.4
