t [s],x [cm],x_err [cm]
0.0,5.0,0.2
0.204,4.3,0.3
0.408,4.1,0.4
0.612,3.6,0.4
0.816,1.9,0.4
1.02,0.2,0.4
1.224,-2.2,0.4
1.429,-3.6,0.4
1.633,-4.7,0.3
1.837,-4.9,0.2
2.041,-4.9,0.2
2.245,-4.3,0.3
2.449,-3.6,0.4
2.653,-2.2,0.4
2.857,-0.5,0.4
3.061,1.3,0.4
3.265,3.3,0.4
3.469,3.9,0.3
3.673,4.9,0.3
3.878,4.5,0.2
4.082,4.7,0.3
4.286,4.0,0.4
4.49,2.7,0.4
4.694,0.6,0.4
4.898,-0.7,0.4
5.102,-1.7,0.4
5.306,-3.7,0.4
5.51,-4.1,0.3
5.714,-4.7,0.2
5.918,-4.7,0.3
6.122,-4.6,0.3
6.327,-2.2,0.4
6.531,-1.3,0.4
6.735,0.5,0.4
6.939,1.8,0.4
7.143,3.1,0.4
7.347,3.6,0.3
7.551,4.7,0.3
7.755,4.5,0.2
7.959,4.2,0.3
8.163,2.9,0.4
8.367,2.3,0.4
8.571,0.8,0.4
8.776,-0.6,0.4
8.98,-1.9,0.4
9.184,-3.9,0.4
9.388,-4.4,0.3
9.592,-4.3,0.2
9.796,-4.3,0.3
10.0,-3.9,0.3
