t [s],x [cm],x_err [cm]
0.0,4.7,0.2
0.204,4.6,0.3
0.408,4.4,0.3
0.612,3.0,0.4
0.816,1.3,0.4
1.02,1.2,0.4
1.224,-1.2,0.4
1.429,-3.1,0.4
1.633,-3.7,0.4
1.837,-4.4,0.3
2.041,-4.8,0.2
2.245,-4.8,0.2
2.449,-4.2,0.3
2.653,-3.6,0.4
2.857,-2.8,0.4
3.061,-2.6,0.4
3.265,-0.4,0.4
3.469,1.9,0.4
3.673,3.2,0.4
3.878,3.7,0.4
4.082,4.3,0.3
4.286,4.6,0.2
4.49,5.0,0.3
4.694,3.7,0.3
4.898,3.8,0.4
5.102,1.9,0.4
5.306,0.4,0.4
5.51,-1.1,0.4
5.714,-1.7,0.4
5.918,-2.5,0.4
6.122,-3.7,0.3
6.327,-4.5,0.3
6.531,-4.9,0.2
6.735,-4.7,0.3
6.939,-4.4,0.3
7.143,-3.2,0.4
7.347,-1.7,0.4
7.551,-0.5,0.4
7.755,1.4,0.4
7.959,2.4,0.4
8.163,2.7,0.4
8.367,4.7,0.3
8.571,4.6,0.2
8.776,4.5,0.2
8.98,4.1,0.3
9.184,4.0,0.4
9.388,2.4,0.4
9.592,1.0,0.4
9.796,-0.4,0.4
10.0,-2.0,0.4
