t [s],x [cm],x_err [cm]
0.0,4.9,0.2
0.204,2.8,0.4
0.408,0.8,0.4
0.612,-3.5,0.4
0.816,-4.7,0.2
1.02,-4.9,0.3
1.224,-1.5,0.4
1.429,2.8,0.4
1.633,4.5,0.3
1.837,4.5,0.3
2.041,2.0,0.4
2.245,-1.3,0.4
2.449,-4.0,0.3
2.653,-4.5,0.3
2.857,-1.5,0.4
3.061,1.2,0.4
3.265,4.1,0.3
3.469,4.6,0.2
3.673,3.6,0.4
3.878,-0.3,0.4
4.082,-3.3,0.4
4.286,-4.6,0.2
4.49,-3.9,0.4
4.694,-1.3,0.4
4.898,2.5,0.4
5.102,4.3,0.3
5.306,4.2,0.3
5.51,1.3,0.4
5.714,-1.9,0.4
5.918,-4.2,0.3
6.122,-4.3,0.3
6.327,-2.7,0.4
6.531,0.7,0.4
6.735,3.2,0.3
6.939,4.7,0.3
7.143,3.5,0.4
7.347,-0.7,0.4
7.551,-3.6,0.4
7.755,-4.4,0.2
7.959,-2.9,0.4
8.163,1.0,0.4
8.367,2.4,0.4
8.571,3.9,0.2
8.776,3.3,0.3
8.98,0.5,0.4
9.184,-2.4,0.4
9.388,-3.8,0.3
9.592,-4.1,0.3
9.796,-1.2,0.4
10.0,1.8,0.4
